751	Station_Name	Arrival_Time	Departure_Time	Shovon	S_Chair	F_Seat	F_Berth	Snigdha	AC_Seat	AC_Berth
1	DHAKA	-	22:10	0	0	0	0	0	0	0
2	BIMAN_BANDAR	21:58	22:42	35	40	80	100	90	100	120
3	JAYDEBPUR	22:35	22:38	35	40	80	100	90	100	120
4	TANGAIL	23:39	23:41	90	105	140	210	175	210	315
5	B._B._SETU_E	00:02	00:12	105	125	165	250	210	250	375
6	B._B._SETU_W	N/A	N/A	170	205	270	405	340	405	605
7	S._MONSUR_ALI	00:39	00:42	175	210	275	415	345	415	620
8	ULLAPARA	01:01	01:04	190	225	300	445	375	445	670
9	BORAL_BRIDGE	01:26	01:29	205	245	325	485	405	485	725
10	ISHURDI_BYPASS	N/A	N/A	215	255	340	510	425	510	765
11	NATORE	02:51	02:54	245	295	395	590	490	590	885
12	SANTAHER	03:45	03:50	275	330	440	660	550	660	990
13	BOGURA	04:33	04:36	305	365	485	730	605	730	1090
14	BONAR_PARA	05:21	05:24	330	400	530	795	660	795	1190
15	GAIBANDHA	05:47	05:50	345	410	550	820	685	820	1230
16	BAMONDANGA	06:27	06:30	360	430	575	860	715	860	1290
17	PIRGACHA	06:47	06:50	370	440	590	880	735	880	1320
18	KAUNIA	06:49	07:02	390	465	620	930	775	930	1395
19	LALMONIR_HAT	07:40	-	390	465	620	930	775	930	1395
