721	Station_Name	Arrival_Time	Departure_Time	Shovon	S_Chair	F_Chair	F_Seat
1	CHITTAGONG	-	07:00	0	0	0	0
2	FENI	08:43	08:47	85	100	135	135
3	LAKSAM	09:33	09:36	115	140	185	185
4	COMILLA	10:05	10:09	135	160	210	210
5	AKHAURA	11:15	11:18	165	200	265	265
6	BRAHMAN_BARIA	11:38	11:42	180	215	285	285
7	BHAIRAB_BAZAR	12:05	12:08	205	245	330	330
8	NARSINGDI	12:46	12:48	225	270	365	365
9	BIMAN_BANDAR	13:37	13:40	265	320	425	425
10	DHAKA	14:20	-	265	320	425	425
