763	Station_Name	Arrival_Time	Departure_Time	Shovon	S_Chair	F_Seat	F_Berth	Snigdha	AC_Seat	AC_Berth
1	KHULNA	-	08:30	0	0	0	0	0	0	0
2	NOAPARA	N/A	N/A	35	40	80	100	90	100	120
3	JESSORE	N/A	N/A	55	65	85	125	105	125	185
4	COURT_CHANDPUR	N/A	N/A	90	110	145	215	180	215	325
5	DARSANA_HALT	N/A	N/A	110	130	175	260	215	260	390
6	CHUADANGA	N/A	N/A	120	145	190	285	240	285	430
7	ALAMDANGA	N/A	N/A	130	160	210	315	260	315	470
8	PORADAHA	N/A	N/A	145	170	230	340	285	340	510
9	MIRPUR	N/A	N/A	150	180	240	355	295	355	530
10	BHAIRAMARA	N/A	N/A	155	185	250	370	310	370	555
11	ISHURDI	N/A	N/A	200	240	315	475	395	475	710
12	CHATMOHAR	N/A	N/A	215	260	345	515	430	515	770
13	BORAL_BRIDGE	N/A	N/A	225	270	355	535	445	535	800
14	ULLAPARA	N/A	N/A	240	285	380	565	475	565	850
15	S._MONSUR_ALI	N/A	N/A	250	300	400	600	500	600	895
16	B._B._SETU_E	N/A	N/A	315	375	500	750	625	750	1125
17	TANGAIL	N/A	N/A	325	390	520	780	650	780	1170
18	MIRZAPUR	N/A	N/A	345	410	550	820	685	820	1230
19	JAYDEBPUR	N/A	N/A	365	440	585	875	730	875	1315
20	BIMAN_BANDAR	N/A	N/A	390	465	620	930	775	930	1390
21	DHAKA	18:20	-	390	465	620	930	775	930	1390
