705	Station_Name	Arrival_Time	Departure_Time	Shovon	S_Chair	F_Seat	F_Berth	Snigdha	AC_Seat	AC_Berth
1	DHAKA	-	10:00	0	0	0	0	0	0	0
2	BIMAN_BANDAR	10:27	10:30	35	40	80	100	90	100	120
3	JAYDEBPUR	10:55	10:58	35	40	80	100	90	100	120
4	TANGAIL	12:09	12:11	90	105	140	210	175	210	315
5	B._B._SETU_E	12:32	12:42	105	125	165	250	210	250	375
6	NATORE	14:58	15:01	245	295	395	590	490	590	885
7	SANTAHER	15:50	15:55	275	330	440	660	550	660	990
8	ACCALPUR	16:16	16:18	290	345	460	690	575	690	1035
9	JOYPURHAT	16:34	15:37	300	360	475	715	595	715	1070
10	PANCHABIBI	16:49	16:51	305	365	490	730	610	730	1095
11	BIRAMPUR	17:16	17:19	320	385	510	765	640	765	1150
12	PHULBARI	17:32	17:35	330	395	525	785	655	785	1175
13	PARBATIPUR	18:00	18:10	360	430	570	855	715	855	1285
14	CHIRIRBANDAR	N/A	N/A	360	430	570	855	715	855	1285
15	DINAJPUR	19:40	-	360	430	570	855	715	855	1285
