718	Station_Name	Arrival_Time	Departure_Time	Shovon	S_Chair	F_Chair	F_Seat	AC_Seat
1	SYLHET	-	08:20	0	0	0	0	0
2	MAIZGAON	08:58	09:00	35	40	80	80	110
3	KULAURA	09:30	09:33	45	55	80	80	127
4	BHANUGACH	10:02	10:04	75	85	115	115	196
5	SRIMANGAL	10:23	10:26	85	100	135	135	230
6	SHAISTAGONJ	11:15	11:18	105	125	170	170	288
7	SHAHAGI_BAZAR	11:30	11:32	115	135	180	180	311
8	NAYAPARA	11:43	11:45	120	140	190	190	322
9	MONTALA	12:00	12:02	130	155	205	205	351
10	HOROSHPUR	12:11	12:13	135	160	215	215	370
11	MUKUNDUPUR	12:23	12:25	140	165	220	220	380
12	AZAMPUR	12:45	12:57	145	175	230	230	397
13	BRAHMAN_BARIA	13:21	13:25	160	190	255	255	437
14	ASHUGANJ	13:42	13:45	170	205	270	270	466
15	BIMAN_BANDAR	15:15	15:18	245	295	395	395	679
16	DHAKA	16:00	-	245	295	395	395	679
