709	Station_Name	Arrival_Time	Departure_Time	Shovon	S_Chair	F_Seat	Snigdha
1	DHAKA	-	06:40	0	0	0	0
2	BIMAN_BANDAR	07:07	07:12	35	40	80	90
3	BHAIRAB_BAZAR	08:33	08:36	80	95	125	179
4	BRAHMAN_BARIA	09:00	09:03	110	135	175	253
5	AZAMPUR	09:28	09:30	125	150	200	288
6	NAYAPARA	10:13	10:15	150	180	240	345
7	SHAISTAGONJ	10:35	10:38	165	195	260	374
8	SRIMANGAL	11:17	11:20	185	225	295	426
9	BHANUGACH	11:39	11:41	195	235	310	443
10	KULAURA	12:11	12:14	215	255	340	489
11	MAIZGAON	12:41	12:43	245	295	395	564
12	SYLHET	13:35	-	245	295	395	564
