707	Station_Name	Arrival_Time	Departure_Time	Shovon	S_Chair	F_Chair
1	DHAKA	-	07:20	0	0	0
2	BIMAN_BANDAR	07:47	07:52	35	40	80
3	JAYDEBPUR	08:20	20:22	35	40	80
4	GAFARGAON	09:28	09:30	80	95	125
5	MYMENSINGH	10:25	10:28	110	130	175
6	JAMALPUR_TOWN	11:37	11:42	150	175	235
7	MELANDAH_BAZAR	12:03	12:05	155	185	250
8	ISLAMPUR_BAZAR	12:28	12:30	170	205	270
9	DEWANGANJ_BAZAR	12:55	-	185	220	315
