771	Station_Name	Arrival_Time	Departure_Time	Shovon	S_Chair	F_Seat	F_Berth	Snigdha	AC_Seat	AC_Berth
1	DHAKA	-	09:00	0	0	0	0	0	0	0
2	BIMAN_BANDAR	N/A	09:30	35	40	80	100	90	100	120
3	B._B._SETU_E	N/A	N/A	105	125	165	250	210	250	375
4	B._B._SETU_W	N/A	N/A	170	205	270	405	340	405	605
5	CHATMOHAR	N/A	N/A	210	250	335	500	415	500	750
6	NATORE	N/A	N/A	245	295	395	590	490	590	885
7	SANTAHER	N/A	N/A	275	330	440	660	550	660	990
8	BOGURA	N/A	N/A	305	365	485	730	605	730	1090
9	BONAR_PARA	N/A	N/A	330	400	530	795	660	795	1190
10	GAIBANDHA	N/A	N/A	345	410	550	820	685	820	1230
11	BAMONDANGA	N/A	N/A	360	430	575	860	715	860	1290
12	PIRGACHA	N/A	N/A	370	440	590	880	735	880	1320
13	KAUNIA	N/A	N/A	390	465	620	930	775	930	1395
14	RANGPUR	19:00	-	390	465	620	930	775	930	1395
