704	Station_Name	Arrival_Time	Departure_Time	S_Chair	Snigdha	AC_Seat
1	DHAKA	-	07:40	0	0	0
2	BIMAN_BANDAR	08:07	08:12	40	90	100
3	BHAIRAB_BAZAR	09:35	09:38	95	179	210
4	BRAHMAN_BARIA	10:02	10:05	135	253	305
5	AKHAURA	10:39	10:42	145	282	334
6	COMILLA	11:32	11:37	190	363	432
7	FENI	13:01	13:06	245	466	558
8	CHITTAGONG	15:15	-	320	610	731
