720	Station_Name	Arrival_Time	Departure_Time	Shovon	S_Chair	F_Seat
1	SYLHET	-	10:15	0	0	0
2	MAIZGAON	10:50	10:55	35	40	80
3	KULAURA	11:24	11:27	45	55	80
4	SHAMSHERNAGAR	12:11	12:13	65	80	105
5	SRIMANGAL	12:38	12:41	85	100	135
6	SHAISTAGONJ	13:18	13:21	105	125	170
7	NAYAPARA	13:41	13:43	120	140	190
8	HOROSHPUR	14:05	14:07	135	160	215
9	AKHAURA	14:55	15:05	150	175	235
10	QOSBA	15:23	15:26	160	200	265
11	COMILLA	16:02	16:06	180	215	285
12	LAKSAM	16:38	16:42	195	235	315
13	NANGAL_KOT	16:58	17:01	210	250	330
14	FENI	17:42	17:47	230	270	360
15	CHITTAGONG	20:00	-	290	345	460
