745	Station_Name	Arrival_Time	Departure_Time	Shovon	S_Chair	F_Seat
1	DHAKA	-	16:40	0	0	0
2	BIMAN_BANDAR	17:07	17:12	35	40	80
3	JAYDEBPUR	17:52	17:55	35	40	80
4	GAFARGAON	19:01	19:04	80	95	125
5	MYMENSINGH	20:20	20:30	110	130	175
6	JAMALPUR_TOWN	21:50	21:55	150	175	235
7	SARISHA_BARI	22:35	22:38	165	195	260
8	TARAKANDI	23:00	-	170	205	270
