726	Station_Name	Arrival_Time	Departure_Time	Shovon	S_Chair	F_Seat	F_Berth	Snigdha	AC_Seat	AC_Berth
1	DHAKA	-	06:20	0	0	0	0	0	0	0
2	BIMAN_BANDAR	06:39	06:52	35	40	80	100	90	100	120
3	JAYDEBPUR	07:20	07:45	35	40	80	100	90	100	120
4	MOUCHAK	08:01	08:03	45	55	80	110	90	110	165
5	MIRZAPUR	08:23	08:25	65	80	105	155	130	155	235
6	TANGAIL	08:57	09:00	90	105	140	210	175	210	315
7	B._B._SETU_E	09:20	09:30	105	125	165	250	210	250	375
8	S._MONSUR_ALI	09:58	10:01	175	210	275	415	345	415	620
9	JAMTAIL	10:09	10:11	180	215	285	425	355	425	635
10	ULLAPARA	10:23	10:26	190	225	300	445	375	445	670
11	BORAL_BRIDGE	10:44	10:47	205	245	325	485	405	485	725
12	CHATMOHAR	10:59	11:02	210	250	335	500	415	500	750
13	ISHURDI	11:30	11:50	225	270	365	540	450	540	810
14	BHAIRAMARA	12:15	12:18	265	320	425	635	530	635	955
15	MIRPUR	N/A	N/A	270	325	435	650	540	650	975
16	PORADAHA	12:40	12:44	280	335	445	665	555	665	995
17	ALAMDANGA	13:04	13:07	290	345	460	690	575	690	1035
18	CHUADANGA	13:24	13:28	300	360	480	715	600	715	1075
19	DARSANA_HALT	13:49	13:52	310	370	495	740	615	740	1110
20	COURT_CHANDPUR	14:18	14:20	335	405	535	805	670	805	1205
21	JESSORE	15:05	15:09	350	420	560	840	700	840	1260
22	NOAPARA	15:51	15:54	390	465	620	930	775	930	1390
23	DAULATPUR	N/A	N/A	390	465	620	930	775	930	1390
24	KHULNA	16:50	-	390	465	620	930	775	930	1390
