757	Station_Name	Arrival_Time	Departure_Time	Shovon	S_Chair	F_Seat	F_Berth	Snigdha	AC_Seat	AC_Berth
1	DHAKA	-	19:40	0	0	0	0	0	0	0
2	BIMAN_BANDAR	20:18	20:12	35	40	80	100	90	100	120
3	JAYDEBPUR	21:00	21:03	35	40	80	100	90	100	120
4	TANGAIL	22:04	22:06	90	105	140	210	175	210	315
5	B._B._SETU_E	22:27	22:37	105	125	165	250	210	250	375
6	JAMTAIL	23:11	23:13	180	215	285	425	355	425	635
7	CHATMOHAR	23:59	00:01	210	250	335	500	415	500	750
8	ISHURDI_BYPASS	N/A	N/A	225	270	360	540	450	540	805
9	NATORE	00:59	01:02	245	295	395	590	490	590	885
10	SANTAHER	01:55	02:00	275	330	440	660	550	660	990
11	ACCALPUR	02:22	02:25	290	345	460	690	575	690	1035
12	JOYPURHAT	02:41	02:44	300	360	475	715	595	715	1070
13	PANCHABIBI	02:56	02:58	305	365	490	730	610	730	1095
14	BIRAMPUR	03:23	03:26	320	385	510	765	640	765	1150
15	PHULBARI	03:39	03:42	330	395	525	785	655	785	1175
16	PARBATIPUR	04:10	04:20	340	405	540	810	675	810	1215
17	CHIRIRBANDAR	N/A	N/A	360	430	570	855	715	855	1285
18	DINAJPUR	05:10	-	360	430	570	855	715	855	1285
