719	Station_Name	Arrival_Time	Departure_Time	Shovon	S_Chair	F_Seat
1	CHITTAGONG	-	08:15	0	0	0
2	FENI	10:13	10:17	85	100	135
3	NANGAL_KOT	10:44	10:47	105	125	170
4	LAKSAM	11:03	11:06	115	140	185
5	COMILLA	11:35	11:40	135	160	210
6	QOSBA	12:15	12:17	155	185	245
7	AKHAURA	12:37	12:47	165	200	265
8	HOROSHPUR	13:13	13:15	190	225	300
9	NAYAPARA	13:35	13:43	195	235	315
10	SHAISTAGONJ	14:03	14:06	210	250	330
11	SRIMANGAL	14:43	14:46	230	275	365
12	SHAMSHERNAGAR	15:11	15:13	240	290	385
13	KULAURA	15:36	15:39	255	305	410
14	MAIZGAON	16:18	16:20	290	345	460
15	SYLHET	17:30	-	290	345	460
