749	Station_Name	Arrival_Time	Departure_Time	Shovon	S_Chair	F_Chair	F_Seat
1	DHAKA	-	18:30	0	0	0	0
2	BIMAN_BANDAR	18:48	19:02	35	40	80	80
3	NARSINGDI	19:45	19:56	55	65	85	85
4	BHAIRAB_BAZAR	20:40	21:00	80	95	125	125
5	KULIARCHAR	21:20	21:23	95	110	150	150
6	BAJITPUR	21:30	21:33	95	115	155	155
7	SARARCHAR	21:41	21:44	100	120	155	155
8	MANIK_KHALI	21:58	22:00	105	125	170	170
9	GACHIHATA	22:10	22:12	110	130	175	175
10	KISHOREGANJ	22:35	-	120	140	185	185
