710	Station_Name	Arrival_Time	Departure_Time	Shovon	S_Chair	F_Seat	Snigdha
1	SYLHET	-	15:00	0	0	0	0
2	MAIZGAON	15:38	15:40	35	40	80	104
3	KULAURA	16:12	16:15	45	55	80	104
4	BHANUGACH	16:44	16:46	75	85	115	167
5	SRIMANGAL	17:05	17:08	85	100	135	180
6	SHAISTAGONJ	17:53	17:56	105	125	170	242
7	NAYAPARA	18:17	18:19	120	140	190	271
8	AZAMPUR	19:22	19:24	145	175	230	334
9	BRAHMAN_BARIA	19:48	19:52	160	190	255	363
10	BHAIRAB_BAZAR	20:15	20:18	190	225	300	432
11	BIMAN_BANDAR	21:37	21:40	245	295	395	564
12	DHAKA	22:30	-	245	295	395	564
