743	Station_Name	Arrival_Time	Departure_Time	Shovon	S_Chair	F_Chair
1	DHAKA	-	18:00	0	0	0
2	BIMAN_BANDAR	18:28	18:33	35	40	80
3	JAYDEBPUR	19:11	19:14	35	40	80
4	GAFARGAON	20:16	20:19	80	95	125
5	MYMENSINGH	21:07	21:17	110	130	175
6	NANDINA	22:16	22:18	140	170	225
7	JAMALPUR_TOWN	22:35	22:38	150	175	235
8	MELANDAH_BAZAR	22:58	23:00	155	185	250
9	ISLAMPUR_BAZAR	23:18	23:20	170	205	270
10	DEWANGANJ_BAZAR	23:40	-	185	220	315
