764	Station_Name	Arrival_Time	Departure_Time	Shovon	S_Chair	F_Seat	F_Berth	Snigdha	AC_Seat	AC_Berth
1	DHAKA	-	19:00	0	0	0	0	0	0	0
2	BIMAN_BANDAR	19:19	19:30	35	40	80	100	90	100	120
3	JAYDEBPUR	20:00	20:20	35	40	80	100	90	100	120
4	MIRZAPUR	20:54	20:56	65	80	105	155	130	155	235
5	TANGAIL	21:21	21:24	90	105	140	210	175	210	315
6	B._B._SETU_E	21:44	21:54	105	125	165	250	210	250	375
7	S._MONSUR_ALI	22:21	22:24	175	210	275	415	345	415	620
8	ULLAPARA	22:42	22:45	190	225	300	445	375	445	670
9	BORAL_BRIDGE	23:04	23:07	205	245	325	485	405	485	725
10	CHATMOHAR	23:20	23:23	210	250	335	500	415	500	750
11	ISHURDI	23:55	00:15	225	270	365	540	450	540	810
12	BHAIRAMARA	00:40	00:43	265	320	425	635	530	635	955
13	MIRPUR	N/A	N/A	270	325	435	650	540	650	975
14	PORADAHA	01:05	01:09	280	335	445	665	555	665	995
15	ALAMDANGA	N/A	N/A	290	345	460	690	575	690	1035
16	CHUADANGA	01:45	01:49	300	360	480	715	600	715	1075
17	DARSANA_HALT	N/A	N/A	310	370	495	740	615	740	1110
18	COURT_CHANDPUR	N/A	N/A	335	405	535	805	670	805	1205
19	JESSORE	03:21	03:25	350	420	560	840	700	840	1260
20	NOAPARA	04:06	04:09	390	465	620	930	775	930	1390
21	KHULNA	05:10	-	390	465	620	930	775	930	1390
