729	Station_Name	Arrival_Time	Departure_Time	Shovon	S_Chair	F_Chair
1	CHITTAGONG	-	17:00	0	0	0
2	FENI	18:45	18:50	85	100	135
3	NANGAL_KOT	19:19	19:23	105	125	170
4	LAKSAM	19:50	20:10	115	140	185
5	CHITOSI_ROAD	20:28	20:30	125	150	195
6	MEHER	20:45	20:47	130	155	210
7	HAJIGANJ	21:05	21:07	150	180	240
8	CHANDPUR_COURT	21:58	22:00	150	180	240
9	CHANDPUR	22:10	-	150	180	240
