740	Station_Name	Arrival_Time	Departure_Time	Shovon	S_Chair	F_Chair	F_Berth	AC_Berth
1	SYLHET	-	22:00	0	0	0	0	0
2	MAIZGAON	22:36	22:39	35	40	80	110	184
3	KULAURA	23:13	23:18	45	55	80	110	184
4	SHAMSHERNAGAR	23:45	23:48	65	80	105	155	271
5	SRIMANGAL	00:17	00:20	85	100	135	200	340
6	SHAISTAGONJ	01:05	01:10	105	125	170	250	432
7	BHAIRAB_BAZAR	03:17	03:20	190	225	300	450	777
8	BIMAN_BANDAR	04:44	04:46	245	295	395	564	1018
9	DHAKA	05:25	-	245	295	395	564	1018
