737	Station_Name	Arrival_Time	Departure_Time	Shovon	S_Chair	F_Chair	F_Seat
1	DHAKA	-	08:10	0	0	0	0
2	BIMAN_BANDAR	08:36	08:45	35	40	80	80
3	NARSINGDI	09:24	09:30	55	65	85	85
4	BHAIRAB_BAZAR	10:10	10:30	80	95	125	125
5	KULIARCHAR	10:52	10:54	95	110	150	150
6	BAJITPUR	11:01	11:03	95	115	155	155
7	SARARCHAR	11:11	11:14	100	120	155	155
8	MANIK_KHALI	11:28	11:30	105	125	170	170
9	GACHIHATA	11:40	11:42	110	130	175	175
10	KISHOREGANJ	12:00	-	120	140	185	185
