733	Station_Name	Arrival_Time	Departure_Time	Shovon
1	RAJSHAHI	-	06:30	0
2	ABDULPUR	N/A	N/A	40
3	NATORE	N/A	N/A	55
4	MADHNAGAR	N/A	N/A	65
5	AHSANGONG	N/A	N/A	70
6	SANTAHER	N/A	N/A	85
7	ACCALPUR	N/A	N/A	100
8	JAMALGANG	N/A	N/A	115
9	JOYPURHAT	N/A	N/A	120
10	HILI	N/A	N/A	135
11	BIRAMPUR	N/A	N/A	140
12	PHULBARI	N/A	N/A	150
13	PARBATIPUR	N/A	N/A	160
14	SAIDPUR	N/A	N/A	190
15	NEELFAMARI	12:40	-	190
