723	Station_Name	Arrival_Time	Departure_Time	Shovon	S_Chair	F_Berth	Snigdha
1	CHITTAGONG	-	21:30	0	0	0	0
2	FENI	23:15	23:20	85	100	200	180
3	LAKSAM	00:10	00:15	115	140	275	265
4	COMILLA	00:44	00:48	135	160	315	305
5	AKHAURA	01:43	01:53	165	200	400	380
6	SHAISTAGONJ	02:57	03:00	210	250	495	478
7	SRIMANGAL	03:39	03:42	230	275	545	524
8	SHAMSHERNAGAR	04:08	04:10	240	290	580	552
9	KULAURA	04:35	04:38	255	305	610	587
10	MAIZGAON	05:13	05:15	290	345	690	662
11	SYLHET	06:30	-	290	345	690	662
